,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
0,46364808,9.0,36.0,55.0,4.9,5.2,1.73,2.8,1,11.2,0.3,8.0,66.24215612399999,16.962009904000002,2015-07-26,2015-07-09,2015-08-12,8619,8467,7873,8277,8351,8508,8672,8446,8723,4556,592,3807,3322,0.010105842253184238
1,46044840,10.0,43.0,47.0,4.8,5.34,5.79,26.0,1,9.3,1.6,19.4,66.557553975,16.329575965,2015-08-03,2015-07-17,2015-08-20,4617,4393,3873,3939,3928,4105,4245,3993,4280,1432,119,2080,1411,0.00680786686838124
2,45564752,10.0,35.0,55.0,4.2,4.32,14.51,29.3,1,16.2,1.9,34.2,65.80091196,15.102547762,2015-07-14,2015-06-27,2015-07-31,7741,7636,7074,7428,7454,7603,7768,7496,7778,3913,966,3830,3313,0.004556419190565532
3,45764748,7.0,45.0,48.0,4.2,4.62,5.66,10.2,0,17.2,0.8,14.4,65.751103038,15.527447434,2015-07-15,2015-06-28,2015-08-01,6305,6139,5754,6227,6286,6658,6873,6480,7004,2578,32,4279,2912,0.019910285669316127
4,45584738,8.0,42.0,50.0,4.5,4.97,24.1,35.2,0,8.5,3.5,16.4,65.673493862,15.121408682,2015-07-21,2015-07-04,2015-08-07,7472,7166,6643,6998,7065,7344,7605,7278,7620,4349,1107,1915,2105,0.019613337069207062
5,45564742,7.0,46.0,47.0,5.3,5.59,20.4,12.6,0,5.4,1.4,10.0,65.710842774,15.085237848,2015-07-21,2015-07-04,2015-08-07,7252,6960,6430,6840,6887,7153,7361,7034,7430,4062,1071,1752,1898,0.01398298976502811
6,45764738,10.0,48.0,42.0,4.3,4.7,2.97,8.7,0,35.6,0.6,13.8,65.66108784800001,15.508742343,2015-07-22,2015-07-05,2015-08-08,3776,3615,3347,3449,3616,4113,4372,4147,4515,1704,79,3595,3155,0.09189046866771985
7,45784742,6.0,58.0,35.0,4.2,4.62,8.27,9.8,0,0.0,0.8,21.6,65.695657061,15.55928053,2015-07-22,2015-07-05,2015-08-08,4077,4077,3780,3922,4050,4718,5004,4910,5142,1956,99,4026,3468,0.1118659420289855
8,46024734,5.0,61.0,34.0,4.9,5.31,11.92,14.2,0,4.5,1.2,10.7,65.605601985,16.059400548,2015-07-23,2015-07-06,2015-08-09,4134,3937,3699,3872,4026,4510,4751,4493,4889,1908,185,3782,3180,0.07423789599521817
9,45004612,8.0,37.0,55.0,4.1,4.45,4.57,58.1,1,6.3,2.7,23.9,64.571459885,13.713340277999999,2015-10-24,2015-10-07,2015-11-10,5293,4885,4185,4645,4828,4998,5142,4942,5205,3898,1317,2814,2452,0.030979451340356734
10,45484756,15.0,34.0,51.0,4.3,4.36,11.39,17.2,1,4.5,1.2,26.0,65.842156075,14.936188474000001,2015-07-14,2015-06-27,2015-07-31,4244,3990,3779,3887,4107,4799,5121,4946,5291,2475,447,3510,3003,0.11989131665345862
11,47564910,28.0,19.0,53.0,4.1,4.34,9.86,23.8,0,15.9,1.4,50.1,67.024798073,19.934692352,2015-07-16,2015-06-29,2015-08-02,6656,6686,6225,6505,6426,6668,6950,6625,7093,2219,83,4429,3047,0.00913937547600914
